impact_rank,area_name,police_station,congestion_pcu_hrs_day,econ_loss_week_inr,tier,officers,shift,barricade,priority,weekly_saving_inr
1,"5th Main Road,  Kempe Gowda Circle",Upparpet,141.8,84371.0,Critical,30,07:00 - 12:00,YES,DEPLOY NOW,84371
2,"Kamaraj Road,  Sri Nagamma Devi Circle",Shivajinagar,86.13,51247.0,Critical,21,08:00 - 13:00,YES,DEPLOY NOW,51247
3,"Mysore Road,  Sri Krishna Rajendra Market",City Market,69.5,41352.0,Critical,15,07:00 - 12:00,YES,DEPLOY NOW,41352
4,"10th Cross Road,  Block 1",Rajajinagar,29.02,17267.0,Critical,6,01:00 - 06:00,YES,SCHEDULE TODAY,17267
5,"80 Feet Ring Road,  Orion",Malleshwaram,23.48,13971.0,Critical,6,08:00 - 13:00,YES,DEPLOY NOW,13971
6,"Unnamed Road,  Begur Chikkanahalli",Chikkajala,21.78,12959.0,Critical,4,02:00 - 07:00,YES,SCHEDULE TODAY,12959
7,"Pailwan M Krishnappa Road,  Shoukath Mohalla",Halasuru Gate,21.02,12507.0,Critical,6,08:00 - 13:00,YES,SCHEDULE TODAY,12507
8,"New Horizon College Road,  New Horizon College of Engineering",HAL Old Airport,19.73,11739.0,Critical,6,02:00 - 07:00,NO,DEPLOY NOW,11739
9,"Kadubeesanahalli Underpass,  Kadubisanahalli Junction",HAL Old Airport,18.76,11162.0,Critical,4,06:00 - 11:00,NO,SCHEDULE TODAY,11162
10,"Sri Venkataranga Ayangar Road,  Ranganathapura",Malleshwaram,15.97,9502.0,High,5,08:00 - 13:00,NO,DEPLOY NOW,9502
11,"ITPL Main Road,  Brigade Tech Gardens",HAL Old Airport,12.19,7253.0,High,2,03:00 - 08:00,NO,ROUTINE PATROL,7253
12,"Outer Ring Road,  Citilights Liberty Apartment",Bellandur,11.64,6926.0,High,2,00:00 - 05:00,NO,ROUTINE PATROL,6926
13,"AS Char Main Road,  Santhusapete",Chamarajpet,11.36,6759.0,Critical,3,05:00 - 10:00,NO,ROUTINE PATROL,6759
14,"Sri Sankasta Hara Ganapati Temple Road,  RPC Layout",Vijayanagara,11.32,6735.0,Critical,6,08:00 - 13:00,NO,SCHEDULE TODAY,6735
15,"MBT Road,  Devasandra Junction",K.R. Pura,11.0,6545.0,Critical,4,00:00 - 03:00,NO,SCHEDULE TODAY,6545
16,"Mahatma Gandhi Road,  Mittal Towers",Halasur,10.8,6426.0,High,2,02:00 - 07:00,NO,SCHEDULE TODAY,6426
17,"19th Main Road,  Block 1",Malleshwaram,10.44,6212.0,Critical,3,06:00 - 11:00,NO,SCHEDULE TODAY,6212
18,"Mysore Road,  Satellite Bus Stand Junction",Byatarayanapura,8.75,5206.0,Critical,3,00:00 - 04:00,NO,ROUTINE PATROL,5206
19,"Padmabhushan Dr MC Modi Road,  Phase 1",Vijayanagara,7.74,4605.0,Critical,3,08:00 - 13:00,NO,ROUTINE PATROL,4605
20,"Chord Road,  Manuvana",Vijayanagara,7.38,4391.0,Critical,6,02:00 - 07:00,NO,SCHEDULE TODAY,4391
21,"Old Airport Road,  Manipal Hospital Junction",Jeevanbheemanagar,7.33,4361.0,High,2,03:00 - 08:00,NO,ROUTINE PATROL,4361
22,"Rao Bahadur DGT Road,  Majestic Circle",Chamarajpet,7.0,4165.0,Critical,3,05:00 - 10:00,NO,ROUTINE PATROL,4165
23,"5th Main Road,  Shri Vinayaka Circle",Jayanagara,6.66,3963.0,Critical,3,06:00 - 11:00,NO,ROUTINE PATROL,3963
24,"1st Cross Road,  Mallige Thotta",Magadi Road,6.44,3832.0,Critical,3,09:00 - 14:00,NO,SCHEDULE TODAY,3832
25,"Old Madras Road,  Royal Heritage",Mahadevapura,6.42,3820.0,Critical,2,08:00 - 13:00,NO,ROUTINE PATROL,3820
26,"Sri DV Gundappa Road,  Shopper Junction",Basavanagudi,5.69,3386.0,Critical,3,08:00 - 13:00,NO,ROUTINE PATROL,3386
27,"Marathahalli Underpass,  Ashwath Nagar",HAL Old Airport,5.64,3356.0,High,2,09:00 - 14:00,NO,ROUTINE PATROL,3356
28,"Sahakar Nagar Road,  Fortuna Acacia",Kodigehalli,5.49,3267.0,High,3,09:00 - 14:00,NO,SCHEDULE TODAY,3267
29,"Kumar Krupa Road,  Padmashree RMP Aaradhya Circle",High ground,5.45,3243.0,High,3,05:00 - 10:00,NO,MONITOR ONLY,3243
30,"Domlur Inner Ring Road,  HAL Stage 2",Jeevanbheemanagar,4.93,2933.0,High,2,05:00 - 10:00,NO,ROUTINE PATROL,2933
31,"MBT Road,  Royal Heritage",Banaswadi,4.88,2904.0,Critical,2,07:00 - 12:00,NO,MONITOR ONLY,2904
32,"20th Main Road,  Block 7",Adugodi,4.39,2612.0,High,3,09:00 - 14:00,NO,ROUTINE PATROL,2612
33,"Walton Road,  Walton Road Circle",Cubbon Park,4.14,2463.0,High,3,09:00 - 14:00,NO,MONITOR ONLY,2463
34,"Bengaluru Bellary Road,  Sadahalli Gate Junction",Chikkajala,4.08,2428.0,High,2,00:00 - 04:00,NO,MONITOR ONLY,2428
35,"Coles Road,  Silver Enclave",Pulikeshinagar(F.Town),4.06,2416.0,High,2,01:00 - 06:00,NO,ROUTINE PATROL,2416
36,"Palace Road,  Kalpana Circle",High ground,3.98,2368.0,Critical,3,01:00 - 06:00,NO,SCHEDULE TODAY,2368
37,"Bellary Road,  Vinayaka Nagar",Hebbala,3.97,2362.0,High,2,02:00 - 07:00,NO,ROUTINE PATROL,2362
38,"Whitefield Road,  Phoenix Marketcity",Mahadevapura,3.85,2291.0,High,2,09:00 - 14:00,NO,ROUTINE PATROL,2291
